dataset,dataset_variant,method,runtime_axis,runtime_value,n_runs,ari_mean,ari_sd,nmi_mean,nmi_sd,acc_mean,acc_sd,final_K_mean,final_K_sd,selected_dims_count_mean,selected_dims_count_sd,wallclock_total_sec_mean,wallclock_total_sec_sd,peak_memory_mb_mean,peak_memory_mb_sd,split_count_mean,split_count_sd,dataset_label,method_label
20ng,20ng_train_4cats_2000docs,divi,dataset,20ng,5,0.758954865962433,0.13270750383145669,0.7530143897055963,0.07437472135039183,0.8755000000000001,0.11807995172763243,4.0,0.0,351.6,1.140175425099138,16.48799984879988,1.0301918808691348,1151.9421875,2.6099105924880357,3.0,0.0,20NG,DIVI-Info
20ng,20ng_train_4cats_2000docs,gmm_oracle,dataset,20ng,5,0.7181014321276036,0.16670672958118488,0.7351273253720271,0.08838873208487193,0.8199,0.16036809221288378,4.0,0.0,,0.0,1.4184716000000002,0.14884643693854413,1153.109375,0.0,0.0,0.0,20NG,GMM
20ng,20ng_train_4cats_2000docs,kmeans_oracle,dataset,20ng,5,0.8451863348714704,0.00167876957306032,0.8031042980431385,0.001679875667818987,0.9392999999999999,0.0006708203932499624,4.0,0.0,,0.0,0.3966466,0.020704242652171564,1151.978125,2.529551899546637,0.0,0.0,20NG,KMeans
20ng,20ng_train_4cats_2000docs,spkm,dataset,20ng,5,0.5139629644456103,0.0,0.5151563566882862,0.0,0.7755,0.0,4.0,0.0,30.0,0.0,7.9772359999999995,0.6119205131309949,1153.109375,0.0,0.0,0.0,20NG,SPKM
isolet,isolet_first_5,divi,dataset,isolet,5,0.4596944586850757,0.1429027900037728,0.5849857852455604,0.12208441231078025,0.5925283522348231,0.09608419290556665,4.0,0.0,578.0,1.7320508075688772,22.261035705599898,1.143073721152132,691.8359375,19.483479079241725,3.0,0.0,ISOLET,DIVI-Info
isolet,isolet_first_5,gmm_oracle,dataset,isolet,5,0.5797939145392411,0.11168264042066604,0.6837266445751414,0.06790723583354813,0.70527018012008,0.10563177775091061,5.0,0.0,,0.0,2.809199,0.7542204480664125,681.9921875,13.57847786149671,0.0,0.0,ISOLET,GMM
isolet,isolet_first_5,kmeans_oracle,dataset,isolet,5,0.631979323122541,0.0012716556421993946,0.7156185010034586,0.0007953527347141222,0.7522348232154771,0.0010117245422350497,5.0,0.0,,0.0,0.5869506,0.04133979352028747,680.68046875,14.812745271736485,0.0,0.0,ISOLET,KMeans
isolet,isolet_first_5,spkm,dataset,isolet,5,0.551433696762814,0.0,0.6395391257587981,0.0,0.7224816544362909,0.0,5.0,0.0,23.0,0.0,9.2581806,0.663318862610057,681.9953125,13.578022286363517,0.0,0.0,ISOLET,SPKM
synthetic,synthetic_n1000_d1000_noise3.0,divi,D,1000,19,0.8609539150162796,0.008448821407400265,0.8856336404745749,0.010366158910829332,0.8468421052631578,0.013667736372342715,4.0,0.0,39.05263157894737,1.4709665835968126,21.424624832157285,1.25303723832634,740.6221217105264,94.87309839175656,3.0,0.0,Synthetic,DIVI-Info
synthetic,synthetic_n1000_d1000_noise3.0,divi,N,1000,15,0.8670404537962494,0.009139268362137142,0.8815840436270244,0.01770644635121073,0.8789999999999999,0.026511453050656126,4.0,0.0,28.0,1.4638501094227998,20.198934161266514,0.5679402358127615,861.08828125,65.68729006925706,3.0,0.0,Synthetic,DIVI-Info
